"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Touch%","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","Touch%/96","extreme1","extreme2","plotnames"
"Danny","Hoesen","Danny Hoesen",2017,"SJE",1940,"Wing",610,0.693,0.759,-40.1152187529951,-6.57626536934346,17.7065292238543,1.05946808510638,0.0823377315027562,503.129,30.1855670103093,0.69344262295082,0.759205276644254,-1.98508298983893,-6.57626536934346,17.7065292238543,1.05946808510638,0.0823377315027562,1116,594,"Hoesen 2017"
"Yura","Movsisyan","Yura Movsisyan",2017,"RSL",1514,"F",265,0.592,0.744,-40.1717708148062,-15.1591587980401,17.2981061323848,-2.06633757961784,0.0597802192147194,1973.75,16.8031704095112,0.592452830188679,0.74404441816908,-2.54721928548309,-15.1591587980401,17.2981061323848,-2.06633757961784,0.0597802192147194,876,136,"Movsisyan 2017"
"Fanendo","Adi","Fanendo Adi",2017,"POR",2000,"F",463,0.687,0.774,-40.3535920158028,-8.71567862112372,13.4919604399427,-3.71688679245283,0.0640738046981455,1736.254,22.224,0.68682505399568,0.773981840206918,-1.93697241675854,-8.71567862112372,13.4919604399427,-3.71688679245283,0.0640738046981455,1398,542,"Adi 2017"
"Borek","Dockal","Borek Dockal",2018,"PHI",2460,"CAM",1788,0.765,0.787,-40.5806606262923,-2.2696118918508,19.4868487085276,1.89611192392099,0.126848495200316,1714.28568,69.7756097560976,0.764541387024608,0.787237505943116,-1.5836355366358,-2.2696118918508,19.4868487085276,1.89611192392099,0.126848495200316,1652,1392,"Dockal 2018"
"Brian","White","Brian White",2019,"NYRB",1419,"F",312,0.615,0.746,-40.626091202721,-13.0211830777952,11.9486394695608,-3.47276041666667,0.0646117303825735,57.225,21.107822410148,0.615384615384615,0.745596446162567,-2.74848819976125,-13.0211830777952,11.9486394695608,-3.47276041666667,0.0646117303825735,899,194,"White 2019"
"Luke","Mulholland","Luke Mulholland",2015,"RSL",2435,"CM",1158,0.735,0.77,-40.8402164317667,-3.52678898374497,19.0689031761963,5.85945945945946,0.108992525373786,83.75,45.6542094455852,0.734887737478411,0.770155627315861,-1.61012762934275,-3.52678898374497,19.0689031761963,5.85945945945946,0.108992525373786,1314,1008,"Mulholland 2015"
"Marc","Rzatkowski","Marc Rzatkowski",2019,"NYRB",2502,"CDM",1271,0.707,0.739,-41.2034115716814,-3.24181050918029,16.1692007029106,4.21478841870824,0.116735875040497,341.667,48.7673860911271,0.706530291109363,0.738948396201166,-1.58094624735468,-3.24181050918029,16.1692007029106,4.21478841870824,0.116735875040497,800,705,"Rzatkowski 2019"
"Andrew","Wenger","Andrew Wenger",2015,"PHI",1781,"Wing",647,0.607,0.671,-41.271994413808,-6.37897904386522,18.6880672562937,2.97741730279898,0.0887546458561918,282,34.8747894441325,0.60741885625966,0.671208646698312,-2.22465551023333,-6.37897904386522,18.6880672562937,2.97741730279898,0.0887546458561918,224,171,"Wenger 2015"
"Chris","Wondolowski","Chris Wondolowski",2016,"SJE",2851,"F",716,0.723,0.781,-41.4830493936315,-5.79372198235077,16.8690261981855,-0.38784749034749,0.0619673358566935,700,24.1094352858646,0.723463687150838,0.781400906974346,-1.39683365197777,-5.79372198235077,16.8690261981855,-0.38784749034749,0.0619673358566935,1548,872,"Wondolowski 2016"
"Luciano","Acosta","Luciano Acosta",2019,"DCU",2310,"CAM",1347,0.745,0.776,-42.2172289025038,-3.13416695638484,16.991464668223,3.19030408773679,0.125230673409888,702,55.9792207792208,0.744617668893838,0.775959338457687,-1.75448224010406,-3.13416695638484,16.991464668223,3.19030408773679,0.125230673409888,1436,1138,"Acosta 2019"
